index_code,date,open,close,low,high,volume,money,change,MA_5,MA_20,MA_60,EMA_5,EMA_20,EMA_60
sh000001,2014-08-13,2223.05,2222.88,2202.44,2230.99,17806280600,146000000000.0,0.000577063,2210.246,2159.7999999999997,2083.8039999999996,2215.580805577365,2169.7559246428145,2108.521917145226
sh000001,2014-08-12,2222.7,2221.6,2210.0,2222.98,15479904600,132000000000.0,-0.001375045,2209.1639999999998,2152.02,2080.224666666667,2211.9312083660475,2164.1639167104795,2104.645362608565
sh000001,2014-08-11,2199.43,2224.65,2198.31,2225.96,15058342100,126000000000.0,0.013775363,2208.834,2144.458,2076.6176666666665,2207.0968125490713,2158.1180132063196,2100.6807887373134
sh000001,2014-08-08,2188.71,2194.43,2180.6,2199.58,13518144300,110000000000.0,0.003088219,2208.57,2136.558,2073.3151666666668,2198.320218823607,2151.1146461754056,2096.4784317522203
sh000001,2014-08-07,2216.66,2187.67,2185.76,2220.57,17523327400,137000000000.0,-0.013436965,2206.7439999999997,2129.1845000000003,2070.4908333333333,2200.265328235411,2146.555135246501,2093.1580307524127
sh000001,2014-08-06,2212.0,2217.47,2192.99,2223.89,17771170700,140000000000.0,-0.001117145,2209.522,2121.718,2068.1615,2206.5629923531164,2142.227254746132,2089.954226350201
sh000001,2014-08-05,2224.63,2219.95,2206.85,2226.84,17538698700,141000000000.0,-0.00152294,2202.2760000000003,2112.775,2065.3825,2201.109488529675,2134.3069657720407,2085.631645428326
sh000001,2014-08-04,2190.04,2223.33,2186.92,2224.07,17409740300,140000000000.0,0.017401706,2194.924,2104.9785,2062.5978333333333,2191.689232794513,2125.2919095375187,2081.0784674455367
sh000001,2014-08-01,2194.17,2185.3,2184.64,2218.79,19147504200,152000000000.0,-0.007385211,2185.848,2096.8085,2059.0613333333336,2175.8688491917696,2114.972110541468,2076.2563669006922
sh000001,2014-07-31,2179.54,2201.56,2173.9,2202.13,16469165400,132000000000.0,0.009315331,2174.1099999999997,2090.5125,2056.2275,2171.1532737876546,2107.5691748089907,2072.5599609115384
sh000001,2014-07-30,2178.18,2181.24,2177.24,2194.57,18492218700,150000000000.0,-0.00089273,2154.81,2083.596,2053.0361666666668,2155.949910681482,2097.6754037362525,2068.1870639851886
